order_number,barcode,quantity,description,sku,location
WO-20165,012752691337,3,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20165,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20165,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20166,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20166,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20166,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20166,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20166,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20166,013233706021,6,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20167,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20168,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20169,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20170,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20170,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20170,012900695859,3,Poly mailer 10x13,SKU-1016,D-07-10
WO-20170,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20170,012382680039,3,Red widget 12-pack,SKU-1002,B-02-08
WO-20170,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20170,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20171,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20171,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20171,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20171,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20171,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20171,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20172,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20172,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20172,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20172,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20172,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20173,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20173,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20174,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20174,013159703760,3,Marker black (12),SKU-1023,E-05-11
WO-20174,012826693595,4,Box cutter,SKU-1014,B-05-08
WO-20174,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20174,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20174,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20174,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20174,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20175,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20175,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20175,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20176,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20176,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20177,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20177,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20177,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20177,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20177,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20177,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20177,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20178,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20178,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20178,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20178,012456682297,4,Stretch wrap 18in,SKU-1004,D-04-10
WO-20178,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20178,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20179,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20179,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20179,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20179,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20179,012567685682,1,Bubble mailer #2,SKU-1007,A-07-07
WO-20180,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20180,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20181,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20181,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20181,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20181,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20181,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20181,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20182,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20182,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20182,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20182,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20183,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20183,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20183,012974698114,4,Pallet label sleeve,SKU-1018,F-09-12
WO-20183,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20183,013048700375,12,Hand truck wheel,SKU-1020,B-02-02
WO-20183,012419681169,4,Packing tape 48mm,SKU-1003,C-03-03
WO-20184,013307708289,6,Edge protector 2in,SKU-1027,C-09-03
WO-20184,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20184,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20184,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20184,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20184,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20184,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20185,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20185,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20185,013418711673,12,Fragile tape 2in,SKU-1030,F-03-12
WO-20186,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20186,012530684551,3,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20186,012715690209,12,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20187,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20187,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20187,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20187,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20187,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20188,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20188,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20189,013122702639,3,Barcode scanner holster,SKU-1022,D-04-04
WO-20189,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20189,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20190,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20190,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20191,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20191,013085701502,6,Shelf label holder,SKU-1021,C-03-09
WO-20191,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20191,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20191,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20191,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20191,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20192,012530684551,6,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20193,012900695859,3,Poly mailer 10x13,SKU-1016,D-07-10
WO-20193,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20193,012567685682,4,Bubble mailer #2,SKU-1007,A-07-07
WO-20193,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20193,013048700375,3,Hand truck wheel,SKU-1020,B-02-02
WO-20193,012493683424,12,Cable ties 8in (100),SKU-1005,E-05-05
WO-20193,013307708289,12,Edge protector 2in,SKU-1027,C-09-03
WO-20194,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20194,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20195,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20195,012604686818,4,Bubble mailer #5,SKU-1008,B-08-02
WO-20195,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20195,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20195,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20196,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20196,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20196,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20196,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20196,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20196,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20197,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
WO-20197,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20197,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20197,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20197,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20197,012604686818,6,Bubble mailer #5,SKU-1008,B-08-02
WO-20197,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20197,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20198,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20199,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20199,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20199,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20199,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20199,012752691337,12,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20199,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20199,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20200,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20200,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20200,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20200,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20200,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20201,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20201,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20201,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20201,012974698114,12,Pallet label sleeve,SKU-1018,F-09-12
WO-20201,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20201,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20201,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20202,013159703760,6,Marker black (12),SKU-1023,E-05-11
WO-20202,012715690209,12,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20202,013270707159,6,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20203,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20203,013381710543,3,Desiccant pack (50),SKU-1029,E-02-05
WO-20203,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20204,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20204,013048700375,3,Hand truck wheel,SKU-1020,B-02-02
WO-20204,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20205,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20205,013011699248,4,Dunnage air pillows,SKU-1019,A-01-07
WO-20205,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20205,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20205,012345678905,6,Blue widget 12-pack,SKU-1001,A-01-01
WO-20205,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20205,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20205,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20206,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20206,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20206,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20206,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20206,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20206,013233706021,6,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20206,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20206,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20207,012826693595,4,Box cutter,SKU-1014,B-05-08
WO-20207,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20207,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20208,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20209,012974698114,12,Pallet label sleeve,SKU-1018,F-09-12
WO-20209,012715690209,4,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20209,013122702639,3,Barcode scanner holster,SKU-1022,D-04-04
WO-20209,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20210,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20210,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20210,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20210,013381710543,2,Desiccant pack (50),SKU-1029,E-02-05
WO-20210,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20210,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20210,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20210,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20211,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20211,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20211,013159703760,3,Marker black (12),SKU-1023,E-05-11
WO-20211,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20211,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20212,012456682297,4,Stretch wrap 18in,SKU-1004,D-04-10
WO-20212,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20212,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20212,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20212,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20213,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20213,012419681169,6,Packing tape 48mm,SKU-1003,C-03-03
WO-20213,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20213,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20213,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20214,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20214,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20214,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20214,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20214,012493683424,12,Cable ties 8in (100),SKU-1005,E-05-05
WO-20215,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20215,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20215,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20215,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20216,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20216,012974698114,4,Pallet label sleeve,SKU-1018,F-09-12
WO-20216,013418711673,6,Fragile tape 2in,SKU-1030,F-03-12
WO-20217,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20217,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20217,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20217,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20217,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20217,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20217,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20217,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20218,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20218,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20218,012530684551,3,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20218,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20218,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20218,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20218,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20219,013381710543,3,Desiccant pack (50),SKU-1029,E-02-05
WO-20219,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20219,013344709416,6,Strapping buckle (1000),SKU-1028,D-01-10
WO-20219,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20219,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20219,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20219,012567685682,3,Bubble mailer #2,SKU-1007,A-07-07
WO-20219,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20220,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20220,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20220,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20220,013085701502,3,Shelf label holder,SKU-1021,C-03-09
WO-20221,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20221,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20222,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20222,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20222,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20223,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20223,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20223,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20223,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20223,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20223,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20223,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20224,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20224,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20224,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20224,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20224,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20225,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20225,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20225,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20225,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20226,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20226,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20226,013122702639,6,Barcode scanner holster,SKU-1022,D-04-04
WO-20226,013048700375,12,Hand truck wheel,SKU-1020,B-02-02
WO-20227,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20227,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20227,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20227,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20227,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20227,012937696980,12,Void fill paper roll,SKU-1017,E-08-05
WO-20228,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20228,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20228,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20228,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20228,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20228,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20228,012419681169,6,Packing tape 48mm,SKU-1003,C-03-03
WO-20228,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20229,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20229,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20229,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20229,013196704898,4,Clipboard letter,SKU-1024,F-06-06
WO-20229,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
WO-20229,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20229,012641687946,12,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20229,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20230,013418711673,1,Fragile tape 2in,SKU-1030,F-03-12
WO-20230,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20231,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20231,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20231,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20231,013381710543,6,Desiccant pack (50),SKU-1029,E-02-05
WO-20231,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20231,013196704898,4,Clipboard letter,SKU-1024,F-06-06
WO-20231,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20232,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20232,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20232,012752691337,12,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20233,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20233,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20233,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20233,012604686818,4,Bubble mailer #5,SKU-1008,B-08-02
WO-20233,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20233,013233706021,4,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20233,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20234,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20234,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20234,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20234,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20235,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20236,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20236,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20237,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20238,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20238,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20238,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20238,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20238,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20238,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20238,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20239,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20239,012493683424,2,Cable ties 8in (100),SKU-1005,E-05-05
WO-20239,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20239,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20239,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20240,013085701502,12,Shelf label holder,SKU-1021,C-03-09
WO-20240,013122702639,6,Barcode scanner holster,SKU-1022,D-04-04
WO-20240,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20241,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20241,013122702639,4,Barcode scanner holster,SKU-1022,D-04-04
WO-20241,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20241,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20241,012937696980,4,Void fill paper roll,SKU-1017,E-08-05
WO-20241,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20242,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20242,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20242,013418711673,4,Fragile tape 2in,SKU-1030,F-03-12
WO-20242,012678689074,12,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20242,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20242,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20242,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20242,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20243,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20243,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20243,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20243,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20243,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20244,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20245,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20246,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20246,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20246,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20246,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20247,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20247,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20247,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20247,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20247,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20247,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20248,013233706021,3,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20248,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20248,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20248,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20248,012974698114,12,Pallet label sleeve,SKU-1018,F-09-12
WO-20248,013085701502,6,Shelf label holder,SKU-1021,C-03-09
